Produto,Marca,Preço,Produto Base,Data,Loja
Margarina Sabor Manteiga Cremosa com Sal VIGOR Pote 500g,Vigor,8.59,Doriana,28-12-21,Pão de Açúcar
Margarina Cremosa DELÍCIA Com Sal Pote 500g,Delícia,7.99,Doriana,28-12-21,Pão de Açúcar
Mortadela defumada fatiada Seara Gourmet 200g,Seara,5.39,Mortadela Gourmet,29-12-21,Pão de Açúcar
Mortadela Defumada Perdigão Ouro 200g,Perdigão,0,Mortadela Gourmet,29-12-21,Pão de Açúcar
Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g,Sadia,0,Mortadela Gourmet,29-12-21,Pão de Açúcar
Hambúrguer Vegetariano SADIA Veg & Tal Pacote 226g,Sadia,0,Linha Incrível,29-12-21,Pão de Açúcar
Hambúrguer De Ervilha Sabor Carne SEARA Incrível 226g,Seara,27.49,Linha Incrível,29-12-21,Pão de Açúcar
Hambúrguer de carne vegetal Not Burger 200g,NotCo,18.9,Linha Incrível,29-12-21,Pão de Açúcar
Margarina com sal Doriana 500g,Doriana,7.29,Doriana,29-12-21,Pão de Açúcar
Margarina Cremosa com Sal QUALY Pote 500g,Qualy,8.99,Doriana,29-12-21,Pão de Açúcar
Margarina Sabor Manteiga Cremosa com Sal VIGOR Pote 500g,Vigor,8.59,Doriana,29-12-21,Pão de Açúcar
Margarina Cremosa DELÍCIA Com Sal Pote 500g,Delícia,7.99,Doriana,29-12-21,Pão de Açúcar
Mortadela defumada fatiada Seara Gourmet 200g,Seara,5.39,Mortadela Gourmet,30-12-21,Pão de Açúcar
Mortadela Defumada Perdigão Ouro 200g,Perdigão,0,Mortadela Gourmet,30-12-21,Pão de Açúcar
Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g,Sadia,0,Mortadela Gourmet,30-12-21,Pão de Açúcar
Hambúrguer Vegetariano SADIA Veg & Tal Pacote 226g,Sadia,0,Linha Incrível,30-12-21,Pão de Açúcar
Hambúrguer De Ervilha Sabor Carne SEARA Incrível 226g,Seara,27.49,Linha Incrível,30-12-21,Pão de Açúcar
Hambúrguer de carne vegetal Not Burger 200g,NotCo,18.9,Linha Incrível,30-12-21,Pão de Açúcar
Margarina com sal Doriana 500g,Doriana,7.29,Doriana,30-12-21,Pão de Açúcar
Margarina Cremosa com Sal QUALY Pote 500g,Qualy,8.99,Doriana,30-12-21,Pão de Açúcar
Margarina Sabor Manteiga Cremosa com Sal VIGOR Pote 500g,Vigor,8.59,Doriana,30-12-21,Pão de Açúcar
Margarina Cremosa DELÍCIA Com Sal Pote 500g,Delícia,7.99,Doriana,30-12-21,Pão de Açúcar
Mortadela defumada fatiada Seara Gourmet 200g,Seara,5.39,Mortadela Gourmet,02-01-22,Pão de Açúcar
Mortadela Defumada Perdigão Ouro 200g,Perdigão,0,Mortadela Gourmet,02-01-22,Pão de Açúcar
Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g,Sadia,5.94,Mortadela Gourmet,02-01-22,Pão de Açúcar
Hambúrguer Vegetariano SADIA Veg & Tal Pacote 226g,Sadia,0,Linha Incrível,02-01-22,Pão de Açúcar
Hambúrguer De Ervilha Sabor Carne SEARA Incrível 226g,Seara,27.49,Linha Incrível,02-01-22,Pão de Açúcar
Hambúrguer de carne vegetal Not Burger 200g,NotCo,18.9,Linha Incrível,02-01-22,Pão de Açúcar
Margarina com sal Doriana 500g,Doriana,7.29,Doriana,02-01-22,Pão de Açúcar
Margarina Cremosa com Sal QUALY Pote 500g,Qualy,8.99,Doriana,02-01-22,Pão de Açúcar
Margarina Sabor Manteiga Cremosa com Sal VIGOR Pote 500g,Vigor,8.59,Doriana,02-01-22,Pão de Açúcar
Margarina Cremosa DELÍCIA Com Sal Pote 500g,Delícia,7.99,Doriana,02-01-22,Pão de Açúcar
Mortadela defumada fatiada Seara Gourmet 200g,Seara,5.39,Mortadela Gourmet,03-01-22,Pão de Açúcar
Mortadela Defumada Perdigão Ouro 200g,Perdigão,0,Mortadela Gourmet,03-01-22,Pão de Açúcar
Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g,Sadia,5.94,Mortadela Gourmet,03-01-22,Pão de Açúcar
Hambúrguer Vegetariano SADIA Veg & Tal Pacote 226g,Sadia,0,Linha Incrível,03-01-22,Pão de Açúcar
Hambúrguer De Ervilha Sabor Carne SEARA Incrível 226g,Seara,27.49,Linha Incrível,03-01-22,Pão de Açúcar
Hambúrguer de carne vegetal Not Burger 200g,NotCo,18.9,Linha Incrível,03-01-22,Pão de Açúcar
Margarina com sal Doriana 500g,Doriana,7.29,Doriana,03-01-22,Pão de Açúcar
Margarina Cremosa com Sal QUALY Pote 500g,Qualy,8.99,Doriana,03-01-22,Pão de Açúcar
Margarina Sabor Manteiga Cremosa com Sal VIGOR Pote 500g,Vigor,8.59,Doriana,03-01-22,Pão de Açúcar
Margarina Cremosa DELÍCIA Com Sal Pote 500g,Delícia,7.99,Doriana,03-01-22,Pão de Açúcar
Mortadela defumada fatiada Seara Gourmet 200g,Seara,5.75,Mortadela Gourmet,04-01-22,Pão de Açúcar
Mortadela Defumada Perdigão Ouro 200g,Perdigão,0,Mortadela Gourmet,04-01-22,Pão de Açúcar
Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g,Sadia,0,Mortadela Gourmet,04-01-22,Pão de Açúcar
Hambúrguer Vegetariano SADIA Veg & Tal Pacote 226g,Sadia,0,Linha Incrível,04-01-22,Pão de Açúcar
Hambúrguer De Ervilha Sabor Carne SEARA Incrível 226g,Seara,27.49,Linha Incrível,04-01-22,Pão de Açúcar
Hambúrguer de carne vegetal Not Burger 200g,NotCo,18.9,Linha Incrível,04-01-22,Pão de Açúcar
Margarina com sal Doriana 500g,Doriana,7.29,Doriana,04-01-22,Pão de Açúcar
Margarina Cremosa com Sal QUALY Pote 500g,Qualy,8.99,Doriana,04-01-22,Pão de Açúcar
Margarina Sabor Manteiga Cremosa com Sal VIGOR Pote 500g,Vigor,8.59,Doriana,04-01-22,Pão de Açúcar
Margarina Cremosa DELÍCIA Com Sal Pote 500g,Delícia,7.99,Doriana,04-01-22,Pão de Açúcar
